,transcript,file,orf_count,cds_count,ratio,prob_uORF_init_rpb,prob_cds_init_rpb,prob_uORF_init_raw,prob_cds_init_raw,initiation_ratio,ratio_diff_init_minus_full
0,ENST00000371711,Park17_SRR5413157,11,26,0.61,4.76,3.74,0.31,0.96,0.79,0.18
1,ENST00000371711,Park16_SRR3306585,109,348,0.83,4.57,3.89,0.29,1.0,0.85,0.02
2,ENST00000371711,Park16_SRR3306586,26,296,2.96,1.28,3.72,0.08,0.96,2.91,-0.05
3,ENST00000371711,Park16_SRR3306587,189,2447,3.36,1.17,3.87,0.07,1.0,3.31,-0.05
4,ENST00000371711,Park16_SRR3306583,744,3985,1.39,2.72,3.89,0.17,1.0,1.43,0.04
5,ENST00000371711,Park16_SRR3306589,220,3612,4.27,0.92,3.88,0.06,1.0,4.22,-0.05
6,ENST00000371711,Park16_SRR3306588,450,2057,1.19,3.3,3.89,0.21,1.0,1.18,-0.01
7,ENST00000371711,Park16_SRR3306584,221,3722,4.38,0.88,3.84,0.06,0.99,4.36,-0.02
