,transcript,file,orf_count,cds_count,ratio,prob_uORF_init_rpb,prob_cds_init_rpb,prob_uORF_init_raw,prob_cds_init_raw,initiation_ratio,ratio_diff_init_minus_full
0,ENST00000375712,Gawron16_SRR2732970,32,942,1.22,1.7,2.47,0.03,0.93,1.45,0.23
1,ENST00000375712,Andreev_new_ef_F1_control_ribo,11,397,1.5,1.69,2.57,0.03,0.97,1.52,0.02
2,ENST00000375712,Andreev_new_ef_F3_Piericidine_A_ribo,6,264,1.82,1.39,2.53,0.02,0.96,1.82,0.0
3,ENST00000375712,Battle15_SRR1585548,8,364,1.89,1.36,2.56,0.02,0.97,1.88,-0.01
4,ENST00000375712,Battle15_SRR1585488,16,244,0.63,3.75,2.54,0.06,0.96,0.68,0.05
5,ENST00000375712,Battle15_SRR1585486,17,111,0.27,8.24,2.55,0.13,0.97,0.31,0.04
6,ENST00000375712,Battle15_SRR1585487,18,102,0.23,9.06,2.41,0.14,0.91,0.27,0.04
7,ENST00000375712,Battle15_SRR1585552,8,133,0.69,3.27,2.35,0.05,0.89,0.72,0.03
8,ENST00000375712,Battle15_SRR1585509,8,228,1.18,2.1,2.65,0.03,1.0,1.26,0.08
9,ENST00000375712,Battle15_SRR1585507,9,292,1.35,1.89,2.58,0.03,0.98,1.37,0.02
10,ENST00000375712,Battle15_SRR1585506,11,79,0.3,7.91,2.65,0.12,1.0,0.34,0.04
11,ENST00000375712,Battle15_SRR1585505,10,118,0.49,5.03,2.6,0.08,0.98,0.52,0.03
12,ENST00000375712,Battle15_SRR1585504,22,199,0.38,6.26,2.58,0.1,0.98,0.41,0.03
13,ENST00000375712,Battle15_SRR1585503,19,141,0.31,7.36,2.49,0.11,0.94,0.34,0.03
14,ENST00000375712,Battle15_SRR1585502,15,285,0.79,3.14,2.59,0.05,0.98,0.82,0.03
15,ENST00000375712,Battle15_SRR1585501,9,97,0.45,5.5,2.65,0.08,1.0,0.48,0.03
16,ENST00000375712,Battle15_SRR1585525,20,97,0.2,11.0,2.59,0.17,0.98,0.24,0.04
17,ENST00000375712,Battle15_SRR1585524,7,68,0.4,5.52,2.37,0.08,0.89,0.43,0.03
18,ENST00000375712,Battle15_SRR1585527,8,49,0.25,7.81,2.2,0.12,0.83,0.28,0.03
19,ENST00000375712,Battle15_SRR1585521,32,81,0.1,17.9,2.58,0.27,0.98,0.14,0.04
20,ENST00000375712,Battle15_SRR1585520,6,38,0.26,8.53,2.58,0.13,0.97,0.3,0.04
21,ENST00000375712,Battle15_SRR1585523,10,106,0.44,4.81,2.28,0.07,0.86,0.47,0.03
22,ENST00000375712,Battle15_SRR1585522,10,116,0.48,5.07,2.6,0.08,0.98,0.51,0.03
23,ENST00000375712,Battle15_SRR1585547,23,330,0.59,4.08,2.53,0.06,0.96,0.62,0.03
24,ENST00000375712,Battle15_SRR1585549,13,194,0.62,3.99,2.62,0.06,0.99,0.66,0.04
25,ENST00000375712,Battle15_SRR1585545,8,140,0.73,3.4,2.61,0.05,0.99,0.77,0.04
26,ENST00000375712,Battle15_SRR1585529,11,88,0.33,7.27,2.65,0.11,1.0,0.36,0.03
27,ENST00000375712,Battle15_SRR1585541,15,301,0.83,3.02,2.6,0.05,0.98,0.86,0.03
28,ENST00000375712,Battle15_SRR1585543,13,106,0.34,6.97,2.57,0.11,0.97,0.37,0.03
29,ENST00000375712,Battle15_SRR1585499,8,93,0.48,5.18,2.65,0.08,1.0,0.51,0.03
30,ENST00000375712,Battle15_SRR1585498,12,211,0.73,3.3,2.58,0.05,0.98,0.78,0.05
31,ENST00000375712,Battle15_SRR1585542,15,294,0.81,2.96,2.52,0.05,0.95,0.85,0.04
32,ENST00000375712,Battle15_SRR1585495,7,77,0.46,5.33,2.58,0.08,0.97,0.48,0.02
