,transcript,file,orf_count,cds_count,ratio,prob_uORF_init_rpb,prob_cds_init_rpb,prob_uORF_init_raw,prob_cds_init_raw,initiation_ratio,ratio_diff_init_minus_full
0,ENST00000372134,Gawron16_SRR2732970,10430,22715,0.45,3.28,1.85,0.34,0.99,0.56,0.11
1,ENST00000372134,Andreev_new_ef_F1_control_ribo,520,10400,4.11,0.48,1.86,0.05,1.0,3.88,-0.23
2,ENST00000372134,Andreev_new_ef_F2_phendc3_ribo,481,9167,3.91,0.5,1.86,0.05,1.0,3.72,-0.19
3,ENST00000372134,Andreev_new_ef_F3_Piericidine_A_ribo,417,8612,4.24,0.47,1.86,0.05,1.0,3.96,-0.28
4,ENST00000372134,Andreev_new_ef_F4_AICAR_ribo,299,8804,6.05,0.32,1.85,0.03,0.99,5.78,-0.27
5,ENST00000372134,Jakobsson17_SRR5382423,348,1710,1.01,1.74,1.86,0.18,1.0,1.07,0.06
6,ENST00000372134,Jakobsson17_SRR5382422,526,1508,0.59,2.73,1.86,0.28,1.0,0.68,0.09
7,ENST00000372134,Jakobsson17_SRR5382421,545,1859,0.7,2.39,1.86,0.25,1.0,0.78,0.08
8,ENST00000372134,Jakobsson17_SRR5382420,373,1214,0.67,2.51,1.86,0.26,1.0,0.74,0.07
9,ENST00000372134,Jakobsson17_SRR5382424,301,1449,0.99,1.81,1.86,0.19,1.0,1.03,0.04
10,ENST00000372134,kolupaeva_27_sep17_human_4_TGACCA_L004_R1_001,80,1316,3.38,0.58,1.86,0.06,1.0,3.21,-0.17
11,ENST00000372134,Battle15_SRR1585548,1046,4746,0.93,1.89,1.86,0.2,1.0,0.98,0.05
12,ENST00000372134,Battle15_SRR1585488,939,4029,0.88,1.92,1.86,0.2,1.0,0.97,0.09
13,ENST00000372134,Battle15_SRR1585489,515,2951,1.18,1.51,1.86,0.16,1.0,1.23,0.05
14,ENST00000372134,Battle15_SRR1585486,596,3112,1.07,1.67,1.86,0.17,1.0,1.11,0.04
15,ENST00000372134,Battle15_SRR1585487,454,2118,0.96,1.85,1.86,0.19,1.0,1.01,0.05
16,ENST00000372134,Battle15_SRR1585552,485,2989,1.27,1.41,1.86,0.15,1.0,1.32,0.05
17,ENST00000372134,Battle15_SRR1585509,737,4100,1.14,1.57,1.86,0.16,1.0,1.18,0.04
18,ENST00000372134,Battle15_SRR1585508,566,3477,1.26,1.42,1.86,0.15,1.0,1.31,0.05
19,ENST00000372134,Battle15_SRR1585507,777,4054,1.07,1.65,1.86,0.17,1.0,1.13,0.06
20,ENST00000372134,Battle15_SRR1585506,495,1628,0.68,2.53,1.86,0.26,1.0,0.74,0.06
