,transcript,file,orf_count,cds_count,ratio,prob_uORF_init_rpb,prob_cds_init_rpb,prob_uORF_init_raw,prob_cds_init_raw,initiation_ratio,ratio_diff_init_minus_full
0,ENST00000377294,Gawron16_SRR2732970,69,234,0.19,4.7,1.28,0.19,0.98,0.27,0.08
1,ENST00000377294,Andreev_new_ef_F1_control_ribo,7,165,1.3,1.02,1.3,0.04,1.0,1.27,-0.03
2,ENST00000377294,Jakobsson17_SRR5382421,8,42,0.29,3.99,1.3,0.16,1.0,0.33,0.04
3,ENST00000377294,Jakobsson17_SRR5382420,6,27,0.25,4.54,1.3,0.18,1.0,0.29,0.04
4,ENST00000377294,Battle15_SRR1585548,28,75,0.15,6.78,1.3,0.27,1.0,0.19,0.04
5,ENST00000377294,Battle15_SRR1585488,7,76,0.6,2.03,1.3,0.08,1.0,0.64,0.04
6,ENST00000377294,Battle15_SRR1585489,12,53,0.24,4.61,1.3,0.18,1.0,0.28,0.04
7,ENST00000377294,Battle15_SRR1585486,7,49,0.38,3.06,1.3,0.12,1.0,0.42,0.04
8,ENST00000377294,Battle15_SRR1585552,6,53,0.49,2.41,1.25,0.1,0.96,0.52,0.03
9,ENST00000377294,Battle15_SRR1585508,13,55,0.23,4.7,1.3,0.19,1.0,0.28,0.05
10,ENST00000377294,Battle15_SRR1585507,18,92,0.28,4.08,1.3,0.16,1.0,0.32,0.04
11,ENST00000377294,Battle15_SRR1585506,10,20,0.11,8.31,1.3,0.33,1.0,0.16,0.05
12,ENST00000377294,Battle15_SRR1585504,8,69,0.47,2.56,1.3,0.1,1.0,0.51,0.04
13,ENST00000377294,Battle15_SRR1585502,8,46,0.32,3.44,1.3,0.14,1.0,0.38,0.06
14,ENST00000377294,Battle15_SRR1585501,7,57,0.45,2.65,1.3,0.11,1.0,0.49,0.04
15,ENST00000377294,Battle15_SRR1585525,10,48,0.26,4.09,1.3,0.16,1.0,0.32,0.06
16,ENST00000377294,Battle15_SRR1585521,6,19,0.17,5.99,1.3,0.24,1.0,0.22,0.05
17,ENST00000377294,Battle15_SRR1585547,6,75,0.69,1.85,1.3,0.07,1.0,0.7,0.01
18,ENST00000377294,Battle15_SRR1585549,12,72,0.33,3.52,1.3,0.14,1.0,0.37,0.04
19,ENST00000377294,Battle15_SRR1585529,15,10,0.04,14.97,1.3,0.6,1.0,0.09,0.05
20,ENST00000377294,Battle15_SRR1585528,13,16,0.07,11.18,1.3,0.45,1.0,0.12,0.05
21,ENST00000377294,Battle15_SRR1585541,8,140,0.96,1.28,1.3,0.05,1.0,1.02,0.06
22,ENST00000377294,Battle15_SRR1585498,23,67,0.16,6.3,1.28,0.25,0.99,0.2,0.04
23,ENST00000377294,Battle15_SRR1585542,12,85,0.39,2.88,1.27,0.12,0.98,0.44,0.05
24,ENST00000377294,Battle15_SRR1585519,6,53,0.49,2.54,1.3,0.1,1.0,0.51,0.02
25,ENST00000377294,Battle15_SRR1585510,10,64,0.35,3.2,1.3,0.13,1.0,0.41,0.06
26,ENST00000377294,Battle15_SRR1585514,6,53,0.49,2.3,1.17,0.09,0.9,0.51,0.02
27,ENST00000377294,Battle15_SRR1585515,17,38,0.12,7.57,1.3,0.3,1.0,0.17,0.05
28,ENST00000377294,Battle15_SRR1585516,13,79,0.33,3.45,1.28,0.14,0.99,0.37,0.04
29,ENST00000377294,Battle15_SRR1585517,6,36,0.33,3.4,1.3,0.14,1.0,0.38,0.05
30,ENST00000377294,Battle15_SRR1585536,8,46,0.32,3.7,1.3,0.15,1.0,0.35,0.03
31,ENST00000377294,Battle15_SRR1585534,9,60,0.37,3.25,1.3,0.13,1.0,0.4,0.03
32,ENST00000377294,Battle15_SRR1585535,6,30,0.27,4.05,1.3,0.16,1.0,0.32,0.05
33,ENST00000377294,Battle15_SRR1585532,18,63,0.19,5.54,1.3,0.22,1.0,0.23,0.04
34,ENST00000377294,Battle15_SRR1585531,16,49,0.17,6.14,1.3,0.25,1.0,0.21,0.04
35,ENST00000377294,Battle15_SRR1585554,8,77,0.53,2.24,1.28,0.09,0.99,0.57,0.04
36,ENST00000377294,Battle15_SRR1585556,9,56,0.34,3.3,1.3,0.13,1.0,0.39,0.05
37,ENST00000377294,Battle15_SRR1585550,6,16,0.15,6.8,1.3,0.27,1.0,0.19,0.04
38,ENST00000377294,Battle15_SRR1585538,10,67,0.37,3.24,1.3,0.13,1.0,0.4,0.03
39,ENST00000377294,Battle15_SRR1585539,7,96,0.75,1.65,1.3,0.07,1.0,0.79,0.04
40,ENST00000377294,Battle15_SRR1585553,9,64,0.39,2.99,1.3,0.12,1.0,0.43,0.04
41,ENST00000377294,Xu16_SRR1758411,6,25,0.23,4.16,1.3,0.17,1.0,0.31,0.08
42,ENST00000377294,Xu16_SRR1758412,9,31,0.19,5.1,1.3,0.2,1.0,0.25,0.06
43,ENST00000377294,Xu16_SRR1758408,6,42,0.38,2.88,1.3,0.12,1.0,0.45,0.07
44,ENST00000377294,Andreev_HCT116_G6_hct116_sca_pieri_ribo,8,224,1.54,0.81,1.24,0.03,0.95,1.53,-0.01
45,ENST00000377294,Andreev_HCT116_M4_ribo,6,132,1.21,1.08,1.29,0.04,0.99,1.19,-0.02
46,ENST00000377294,Andreev_HCT116_M1_ribo,7,168,1.32,0.99,1.29,0.04,0.99,1.3,-0.02
47,ENST00000377294,Andreev_HCT116_G1_hct116_control_ribo,6,162,1.48,0.87,1.28,0.03,0.98,1.47,-0.01
