,transcript,file,orf_count,cds_count,ratio,prob_uORF_init_rpb,prob_cds_init_rpb,prob_uORF_init_raw,prob_cds_init_raw,initiation_ratio,ratio_diff_init_minus_full
1,ENST00000254998,Andreev_new_ef_F1_control_ribo,68,424,6.12,0.39,1.74,0.15,1.0,4.46,-1.66
2,ENST00000254998,Andreev_new_ef_F2_phendc3_ribo,35,392,10.99,0.23,1.73,0.09,0.99,7.52,-3.47
3,ENST00000254998,Andreev_new_ef_F3_Piericidine_A_ribo,29,307,10.39,0.23,1.74,0.09,1.0,7.57,-2.82
4,ENST00000254998,Andreev_new_ef_F4_AICAR_ribo,8,159,19.5,0.11,1.54,0.04,0.88,14.0,-5.5
5,ENST00000254998,Jakobsson17_SRR5382423,50,27,0.53,1.95,1.68,0.74,0.96,0.86,0.33
6,ENST00000254998,Jakobsson17_SRR5382422,117,51,0.43,2.04,1.74,0.77,1.0,0.85,0.42
7,ENST00000254998,Jakobsson17_SRR5382421,166,76,0.45,2.01,1.74,0.76,1.0,0.87,0.42
8,ENST00000254998,Jakobsson17_SRR5382420,130,55,0.42,2.11,1.74,0.8,1.0,0.82,0.4
9,ENST00000254998,Jakobsson17_SRR5382424,29,17,0.58,2.02,1.74,0.76,1.0,0.86,0.28
10,ENST00000254998,kolupaeva_27_sep17_human_4_TGACCA_L004_R1_001,11,37,3.3,0.65,1.74,0.24,1.0,2.68,-0.62
11,ENST00000254998,Battle15_SRR1585548,171,94,0.54,1.78,1.74,0.67,1.0,0.98,0.44
12,ENST00000254998,Battle15_SRR1585488,144,114,0.78,1.64,1.68,0.62,0.97,1.02,0.24
13,ENST00000254998,Battle15_SRR1585489,91,47,0.51,1.78,1.41,0.67,0.81,0.79,0.28
14,ENST00000254998,Battle15_SRR1585486,129,76,0.58,1.77,1.65,0.67,0.95,0.93,0.35
15,ENST00000254998,Battle15_SRR1585487,82,31,0.37,2.11,1.59,0.8,0.91,0.75,0.38
16,ENST00000254998,Battle15_SRR1585552,128,114,0.87,1.53,1.73,0.58,0.99,1.13,0.26
17,ENST00000254998,Battle15_SRR1585509,189,64,0.33,1.94,1.15,0.73,0.66,0.59,0.26
18,ENST00000254998,Battle15_SRR1585508,133,57,0.42,1.95,1.74,0.73,1.0,0.89,0.47
19,ENST00000254998,Battle15_SRR1585507,219,106,0.47,1.85,1.65,0.7,0.95,0.89,0.42
20,ENST00000254998,Battle15_SRR1585506,121,52,0.42,1.93,1.71,0.73,0.98,0.89,0.47
21,ENST00000254998,Battle15_SRR1585505,145,52,0.35,2.11,1.62,0.8,0.93,0.77,0.42
22,ENST00000254998,Battle15_SRR1585504,243,95,0.38,1.99,1.69,0.75,0.97,0.85,0.47
23,ENST00000254998,Battle15_SRR1585503,193,92,0.47,2.05,1.62,0.78,0.93,0.79,0.32
24,ENST00000254998,Battle15_SRR1585502,133,93,0.69,1.64,1.59,0.62,0.91,0.97,0.28
