,transcript,file,orf_count,cds_count,ratio,prob_uORF_init_rpb,prob_cds_init_rpb,prob_uORF_init_raw,prob_cds_init_raw,initiation_ratio,ratio_diff_init_minus_full
4,ENST00000369535,Park16_SRR3306585,511,581,0.43,9.67,7.37,0.47,1.0,0.76,0.33
5,ENST00000369535,Park16_SRR3306586,415,1283,1.16,4.86,7.01,0.24,0.95,1.44,0.28
6,ENST00000369535,Park16_SRR3306587,947,2544,1.01,5.48,7.13,0.26,0.97,1.3,0.29
7,ENST00000369535,Park16_SRR3306583,1150,1972,0.64,7.61,7.37,0.37,1.0,0.97,0.33
8,ENST00000369535,Park16_SRR3306589,1738,3979,0.86,5.93,6.78,0.29,0.92,1.14,0.28
9,ENST00000369535,Park16_SRR3306588,1692,2081,0.46,9.06,7.07,0.44,0.96,0.78,0.32
10,ENST00000369535,Park16_SRR3306584,1242,3030,0.91,5.64,6.75,0.27,0.92,1.2,0.29
