,transcript,file,orf_count,cds_count,ratio,prob_uORF_init_rpb,prob_cds_init_rpb,prob_uORF_init_raw,prob_cds_init_raw,initiation_ratio,ratio_diff_init_minus_full
303,ENST00000369535,Cenik15_SRR1803152,160,338,0.39,12.24,6.64,0.3,0.9,0.54,0.15
304,ENST00000369535,Cenik15_SRR1803191,199,435,0.4,12.3,6.93,0.3,0.94,0.56,0.16
305,ENST00000369535,Cenik15_SRR1803190,167,365,0.4,12.56,7.12,0.31,0.97,0.57,0.17
306,ENST00000369535,Cenik15_SRR1803193,7,24,0.63,8.66,6.8,0.21,0.92,0.79,0.16
307,ENST00000369535,Cenik15_SRR1803192,22,60,0.5,9.88,6.41,0.24,0.87,0.65,0.15
308,ENST00000369535,Cenik15_SRR1803195,14,44,0.58,10.03,7.37,0.25,1.0,0.73,0.15
309,ENST00000369535,Cenik15_SRR1803194,6,40,1.23,4.9,6.7,0.12,0.91,1.37,0.14
310,ENST00000369535,Cenik15_SRR1803173,149,355,0.44,11.11,6.54,0.27,0.89,0.59,0.15
311,ENST00000369535,Cenik15_SRR1803165,70,251,0.66,8.64,7.03,0.21,0.95,0.81,0.15
312,ENST00000369535,Cenik15_SRR1803160,123,340,0.51,10.49,6.96,0.26,0.94,0.66,0.15
313,ENST00000369535,Cenik15_SRR1803161,68,337,0.91,6.82,7.33,0.17,0.99,1.07,0.16
314,ENST00000369535,Cenik15_SRR1803162,82,298,0.67,8.59,7.13,0.21,0.97,0.83,0.16
315,ENST00000369535,Cenik15_SRR1803163,21,37,0.33,11.91,5.35,0.29,0.73,0.45,0.12
316,ENST00000369535,Cenik15_SRR1803164,54,340,1.16,5.51,7.24,0.14,0.98,1.31,0.15
317,ENST00000369535,Cenik15_SRR1803166,125,350,0.52,10.53,7.17,0.26,0.97,0.68,0.16
318,ENST00000369535,Cenik15_SRR1803148,104,354,0.63,8.96,7.05,0.22,0.96,0.79,0.16
319,ENST00000369535,Cenik15_SRR1803149,18,34,0.35,14.14,7.37,0.35,1.0,0.52,0.17
320,ENST00000369535,Cenik15_SRR1803146,130,344,0.49,10.75,6.95,0.26,0.94,0.65,0.16
321,ENST00000369535,Cenik15_SRR1803147,23,118,0.95,6.22,6.79,0.15,0.92,1.09,0.14
322,ENST00000369535,Cenik15_SRR1803167,170,407,0.44,11.77,7.09,0.29,0.96,0.6,0.16
323,ENST00000369535,Cenik15_SRR1803168,37,195,0.97,6.35,7.15,0.16,0.97,1.13,0.16
324,ENST00000369535,Cenik15_SRR1803172,15,65,0.8,6.59,6.14,0.16,0.83,0.93,0.13
325,ENST00000369535,Cenik15_SRR1803169,41,209,0.94,6.54,7.17,0.16,0.97,1.1,0.16
326,ENST00000369535,Zur16_SRR2536856,199,646,0.6,9.53,7.28,0.23,0.99,0.76,0.16
327,ENST00000369535,Zur16_SRR2536857,232,821,0.65,8.93,7.3,0.22,0.99,0.82,0.17
328,ENST00000369535,Zur16_SRR2536858,69,171,0.46,11.69,7.33,0.29,0.99,0.63,0.17
329,ENST00000369535,Zur16_SRR2536859,64,175,0.5,10.85,7.29,0.27,0.99,0.67,0.17
330,ENST00000369535,Zur16_SRR2536838,104,263,0.47,11.54,7.34,0.28,1.0,0.64,0.17
331,ENST00000369535,Zur16_SRR2536839,159,296,0.34,14.15,7.27,0.35,0.99,0.51,0.17
332,ENST00000369535,Zur16_SRR2536863,105,233,0.41,12.69,7.37,0.31,1.0,0.58,0.17
333,ENST00000369535,Zur16_SRR2536862,57,150,0.49,11.14,7.27,0.27,0.99,0.65,0.16
334,ENST00000369535,Zur16_SRR2536846,53,116,0.4,12.51,7.13,0.31,0.97,0.57,0.17
335,ENST00000369535,Zur16_SRR2536845,133,276,0.38,12.9,7.06,0.32,0.96,0.55,0.17
336,ENST00000369535,Zur16_SRR2536844,140,293,0.39,13.09,7.27,0.32,0.99,0.56,0.17
337,ENST00000369535,Zur16_SRR2536843,139,259,0.34,13.92,7.1,0.34,0.96,0.51,0.17
338,ENST00000369535,Zur16_SRR2536842,133,278,0.39,12.9,7.11,0.32,0.97,0.55,0.16
339,ENST00000369535,Zur16_SRR2536841,26,49,0.35,13.97,7.22,0.34,0.98,0.52,0.17
340,ENST00000369535,Zur16_SRR2536840,50,97,0.36,13.62,7.15,0.33,0.97,0.52,0.16
341,ENST00000369535,Zur16_SRR2536865,95,206,0.4,12.89,7.37,0.32,1.0,0.57,0.17
342,ENST00000369535,Zur16_SRR2536864,115,212,0.34,14.23,7.27,0.35,0.99,0.51,0.17
343,ENST00000369535,Zur16_SRR2536867,41,108,0.49,11.24,7.37,0.28,1.0,0.66,0.17
344,ENST00000369535,Zur16_SRR2536866,101,216,0.39,13.01,7.37,0.32,1.0,0.57,0.18
345,ENST00000369535,Zur16_SRR2536861,64,169,0.49,11.08,7.24,0.27,0.98,0.65,0.16
346,ENST00000369535,Zur16_SRR2536860,66,169,0.47,11.38,7.28,0.28,0.99,0.64,0.17
347,ENST00000369535,Zhang17_SRR6327777,82,238,0.54,6.63,4.14,0.16,0.56,0.62,0.08
348,ENST00000369535,Zhang17_SRR5227449,137,656,0.88,4.37,4.22,0.11,0.57,0.97,0.09
349,ENST00000369535,Zhang17_SRR5227448,125,848,1.25,5.06,7.06,0.12,0.96,1.4,0.15
350,ENST00000369535,Li17_SRR5882586,40,61,0.28,13.96,5.84,0.34,0.79,0.42,0.14
