,transcript,file,orf_count,cds_count,ratio,prob_uORF_init_rpb,prob_cds_init_rpb,prob_uORF_init_raw,prob_cds_init_raw,initiation_ratio,ratio_diff_init_minus_full
10,ENST00000298316,Park16_SRR3306584,195,855,1.07,5.34,6.03,0.21,0.96,1.13,0.06
0,ENST00000322177,Park16_SRR3306586,11,322,8.5,0.33,3.24,0.02,0.89,9.82,1.32
1,ENST00000322177,Park16_SRR3306587,34,854,7.3,0.41,3.5,0.03,0.97,8.54,1.24
2,ENST00000322177,Park16_SRR3306589,35,642,5.33,0.6,3.41,0.04,0.94,5.68,0.35
3,ENST00000322177,Park16_SRR3306588,25,823,9.56,0.32,3.36,0.02,0.93,10.5,0.94
4,ENST00000322177,Park16_SRR3306584,49,812,4.81,0.64,3.39,0.04,0.94,5.3,0.49
0,ENST00000337231,Park16_SRR3306585,60,135,0.15,6.49,2.24,0.18,1.0,0.35,0.2
1,ENST00000337231,Park16_SRR3306586,40,224,0.38,4.49,2.15,0.12,0.96,0.48,0.1
2,ENST00000337231,Park16_SRR3306587,50,493,0.68,2.75,2.18,0.07,0.97,0.79,0.11
3,ENST00000337231,Park16_SRR3306583,170,613,0.25,4.3,2.24,0.12,1.0,0.52,0.27
4,ENST00000337231,Park16_SRR3306589,11,704,4.4,0.49,2.17,0.01,0.97,4.43,0.03
5,ENST00000337231,Park16_SRR3306588,19,242,0.88,0.97,2.24,0.03,1.0,2.31,1.43
6,ENST00000337231,Park16_SRR3306584,16,792,3.4,0.6,2.21,0.02,0.99,3.68,0.28
0,ENST00000269856,Park16_SRR3306583,21,163,0.49,8.15,3.96,0.11,0.84,0.49,0.0
1,ENST00000269856,Park16_SRR3306589,10,183,1.15,3.88,4.59,0.05,0.98,1.18,0.03
2,ENST00000269856,Park16_SRR3306584,11,208,1.19,3.63,4.51,0.05,0.96,1.24,0.05
0,ENST00000246229,Park17_SRR5413155,11,9,0.07,17.87,2.19,0.38,0.6,0.12,0.05
1,ENST00000246229,Park16_SRR3306587,20,38,0.15,14.72,3.47,0.31,0.95,0.24,0.09
2,ENST00000246229,Park16_SRR3306583,10,6,0.05,29.44,3.65,0.62,1.0,0.12,0.07
3,ENST00000246229,Park16_SRR3306589,19,31,0.13,16.27,3.65,0.35,1.0,0.22,0.09
4,ENST00000246229,Park16_SRR3306584,22,32,0.12,18.84,3.54,0.4,0.97,0.19,0.07
0,ENST00000276055,Park16_SRR3306585,12,46,0.34,3.64,1.47,0.21,1.0,0.4,0.06
1,ENST00000276055,Park16_SRR3306586,11,48,0.39,2.81,1.21,0.16,0.83,0.43,0.04
2,ENST00000276055,Park16_SRR3306583,31,126,0.36,3.48,1.47,0.2,1.0,0.42,0.06
3,ENST00000276055,Park16_SRR3306584,10,83,0.73,1.8,1.38,0.1,0.94,0.77,0.04
0,ENST00000366714,Park16_SRR3306589,35,10,0.04,10.16,1.57,0.78,1.0,0.15,0.11
1,ENST00000366714,Park16_SRR3306584,23,11,0.06,8.84,1.57,0.68,1.0,0.18,0.12
0,ENST00000310754,Park16_SRR3306589,11,101,1.04,1.58,1.66,0.1,1.0,1.05,0.01
1,ENST00000310754,Park16_SRR3306588,10,89,1.01,1.62,1.66,0.1,1.0,1.02,0.01
2,ENST00000310754,Park16_SRR3306584,11,73,0.75,2.01,1.57,0.12,0.95,0.78,0.03
0,ENST00000324607,Park17_SRR5413156,6,18,0.39,2.69,1.09,0.32,1.0,0.41,0.02
1,ENST00000324607,Park16_SRR3306587,19,86,0.58,1.88,1.09,0.22,1.0,0.58,0.0
2,ENST00000324607,Park16_SRR3306583,30,200,0.86,1.28,1.09,0.15,1.0,0.85,-0.01
3,ENST00000324607,Park16_SRR3306589,29,281,1.25,0.87,1.09,0.1,0.99,1.25,0.0
4,ENST00000324607,Park16_SRR3306588,151,203,0.17,6.33,1.09,0.74,1.0,0.17,0.0
5,ENST00000324607,Park16_SRR3306584,33,220,0.86,1.25,1.09,0.15,1.0,0.87,0.01
0,ENST00000375911,Park17_SRR5413155,6,28,1.0,1.59,1.68,0.16,0.9,1.06,0.06
1,ENST00000375911,Park16_SRR3306586,6,83,2.96,0.65,1.87,0.06,1.0,2.88,-0.08
2,ENST00000375911,Park16_SRR3306587,58,194,0.72,2.28,1.87,0.23,1.0,0.82,0.1
